,,Investigación mixta ,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Marca,Tipo,Ingrediente,Envase,Tamaño,Precio(MXN),Punto de venta,Observaciones,Imagen,Tipo de investigación,,,,
8,Shampoo Herbal Essences Détox Té verde & menta,Comercial,"Aqua, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Cocamidopropyl Betaine, Citric Acid, Sodium Citrate, Sodium Xylenesulfonate, Parfum, Cocamide Mea, Sodium Chloride, Sodium Benzoate, Tetrasodium Edta, Peg-60 Almond Glycerides, Guar Hydroxypropyltrimonium Chloride, Linoleamidopropyl Pg-Dimonium Chloride Phosphate, Hexyl Cinnamal, Menthol, Mentha Piperita Oil, Mentha Arvensis Leaf Oil, Camellia Sinensis Leaf Extract, Methylchloroisothiazolinone, Methylisothiazolinone.",Plástico,400 ml,400,Chedraui,Limpieza profunda ,,Fisica,,,,
9,Shampoo Bergamota Y Te Verde,Natural/comercial ,"Agua desionizada, Lauril èter sulfato de sodio, Amida de coco, Cocamidopropil, Betina, Bergamota, Te verde, D-Pantenol, Infusion de ortiga, romero, Propilenglicol, EDTA, Fragancia, Àcido citrico, Benzofenona 3.",Plástico ,400 ml ,63.5,chedraui,Limpieza,,Fisica,,,,"


"
10,Shampoo Herbal Essences Anti-Frizz Lavanda & Aceite de Almendras,Comercial,"Aqua, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Cocamidopropyl Betaine, Citric Acid, Sodium Citrate, Ppg-2 Hydroxyethyl Coco/Isostearamide, Sodium Xylenesulfonate, Sodium Chloride, Dimethiconol, Parfum, Sodium Benzoate, Guar Hydroxypropyltrimonium Chloride, Tetrasodium Edta, Limonene, Hexyl Cinnamal, Hydroxycitronellal, Linalool, Citronellol, Prunus Amygdalus Dulcis Oil, Lavandula Angustifolia Flower Extract, Methylchloroisothiazolinone, Methylisothiazolinone, Ci 17200, Ci 42090, Ci 19142",Plastico ,400 ml,,Soriana,Limpia y ayuda a calmar el frizz del  cabello,,Linea,,,,
11,Savilé Shampoo Control Caspa Aceite de Coco y Romero,Comercial,"Ingredientes: aqua, sodium laureth sulfate, cocamidopropyl betaine, dimethiconol, sodium chloride, carbomer, phenoxyethanol, zinc pyrithione, parfum, sodium salicylate, sodium hydroxide, guar hydroxypropyltrimonium chloride, citric acid, ci 42090, aloe barbadensis leaf extract, cocos nucifera oil, rosmarinus officinalis leaf extract, benzyl salicylate.",Plástico,700  ml,41,BodegaAurrera,Anticaspa,,Fisica,,,,
12,Shampoo Garnier Fructis borrador de daño post química,Comercial ,"Aqua / water, sodium laureth sulfate, sodium lauryl sulfate, cocobetaine, glycol distearate, guar hydroxypropyltrimonium chloride, niacinamide, saccharum officinarum extract / sugar cane extract, sodium chloride, sodium benzoate, hydrolyzed vegetable protein pgpropyl silanetriol, hydroxypropyltrimonium lemon protein, sodium hydroxide, phenoxyethanol, trideceth, salicylic acid, limonene, fumaric acid, camellia sinensis leaf extract, linalool, benzyl alcohol, benzyl salicylate, amodimethicone, caprylic/capric triglyceride, pyrus malus fruit extract / apple fruit extract, carbomer, pyridoxine hcl, citric acid, cetrimonium chloride, citronellol, citrus limon peel extract / lemon peel extract, potassium sorbate, leuconostoc/radish root ferment filtrate, hexylene glycol, hexyl cinnamal, phyllanthus emblica fruit extract, parfum / fragrance, fil code B195797/1.",Plastico ,650,98,BodegaAurrera,Limpieza profunda,,Fiísica,,,,
13,Shampoo Head & Shoulders Hidrtación aceite de coco control caspa,Comercial,"Agua, Sodium Laureth Sulfate, Sodium Xylenesulfonate, Dimethicone, Zinc Carbonate, Glycol Distearate, Sodium Lauryl Sulfate, Zinc Pyrithione, Cocamidopropyl Betaine, Cocamide Mea, Parfum, Guar Hydroxypropyltrimonium Chloride, Sodium Benzoate, Hydrochloric Acid, Hexyl Cinnamal, Sodium Chloride, Stearyl Alcohol, Magnesium Carbonate Hydroxide, Cetyl Alcohol, Benzyl Salicylate, Limonene, Linalool, Polyquaternium-76, Cocos Nucifera Oil, Methylchloroisothiazolinone, Methylisothiazolinone",Plástico,180,44.5,BodegaAurrera,Control caspa,,Fisica,,,,
14,Shampoo Pert agave y aguacate,Comercial,"Aqua (Water, Eau), Sodium Laureth^Sulfate, Sodium Chloride, Cocamidopropyl Betaine, PEG-7^Glyceryl Cocoate, Dimethyl Lauramide/Myristamide, Sodium^Benzoate, Laureth-2, Citric Acid, Polyquaternium-10, Parfum^(Fragrance), Glycol Distearate, Sodium Sulfate, Laureth-4,^Panthenol, Hexyl Cinnamal, Phenoxyethanol, Limonene,^Benzyl Alcohol, Benzyl Salicylate, Citronellol, Persea^Gratissima (Avocado) Oil, Agave Tequilana Leaf Extract, Potassium Sorbate.",Plástico,650,40,BodegaAurrera,Brillo y reparación ,,Fisica,,,,
15,Shampoo Herbal Essences Pelo largo granada & proteína vegana,Comercial,"Aqua, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Cocamidopropyl Betaine, Citric Acid, Sodium Citrate, Ppg-2 Hydroxyethyl Coco/Isostearamide, Sodium Xylenesulfonate, Parfum, Sodium Chloride, Dimethiconol, Sodium Benzoate, Guar Hydroxypropyltrimonium Chloride, Tetrasodium Edta, Hexyl Cinnamal, Hydrolyzed Wheat Protein, Ci 17200, Ci 19140, Hydrolyzed Wheat Starch, Methylchloroisothiazolinone, Viola Odorata Flower/Leaf Extract",Plastico ,600,103,BodegaAurrera,Brillo y reparación ,,Fisica,,,,
16,Shampoo Herbal Essences Hidrata agua de coco & jazmín,Comercial,"Aqua, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Cocamidopropyl Betaine, Citric Acid, Sodium Citrate, Sodium Xylenesulfonate, Parfum, Sodium Chloride, Cocamide Mea, Sodium Benzoate, Hexyl Cinnamal, Tetrasodium Edta, Peg-60 Almond Glycerides, Linoleamidopropyl Pg-Dimonium Chloride Phosphate, Guar Hydroxypropyltrimonium Chloride, Benzyl Salicylate, Limonene, Linalool, Aloe Barbadensis Leaf Juice, Jasminum Officinale Flower/Leaf Extract, Cocos Nucifera Fruit Juice, Methylchloroisothiazolinone, Methylisothiazolinone",Plastico ,600,103,BodegaAurrera,Shampoo hidratante para un cabello limpio y suave.,,Fisica,,,,
17,Shampoo Herbal Essences Anti-Frizz lavanda & aceite de almendras,Comercial,"Aqua, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Cocamidopropyl Betaine, Citric Acid, Sodium Citrate, Ppg-2 Hydroxyethyl Coco/Isostearamide, Sodium Xylenesulfonate, Sodium Chloride, Dimethiconol, Parfum, Sodium Benzoate, Guar Hydroxypropyltrimonium Chloride, Tetrasodium Edta, Limonene, Hexyl Cinnamal, Hydroxycitronellal, Linalool, Citronellol, Prunus Amygdalus Dulcis Oil, Lavandula Angustifolia Flower Extract, Methylchloroisothiazolinone, Methylisothiazolinone, Ci 17200, Ci 42090, Ci 19145",Plastico ,600,103,BodegaAurrera,Limpia el cabello y al mismo tiempo  controla el frizz,,Fisica,,,,
18,Shampoo Garnier Fructis oil repair 3 recarga nutritiva,Comercial,"Aqua / water, sodium laureth sulfate, sodium chloride, glycol distearate, coco-betaine, cocamidopropyl betaine, guar hydroxypropyltrimonium chloride, niacinamide, saccharum officinarum extract / sugarcane extract, cocos nucifera oil / coconut oil, tocopherol, sodium hydroxide, sodium benzoate, hydroxypropyltrimonium lemon protein, phenoxyethanol, argania spinosa kernel oil, trideceth-6, salicylic acid, helianthus annuus seed oil / sunflower seed oil, limonene, fumaric acid, camellia sinensis leaf extract, amodimethicone, caprylyl glycol, carbomer, pyrus malus fruit extract / apple fruit extract, pyridoxine hcl, persea gratissima oil / avocado oil, rosmarinus officinalis leaf extract / rosemary leaf extract, citric acid, cetrimonium chloride, citrus limon fruit extract / lemon fruit extract, leuconostoc/radish root ferment filtrate, hexylene glycol, hexyl cinnamal, parfum / fragrance, F.I.L code b273891/1.",Plastico ,650,98,BodegaAurrera,Reparación,,Fisica,,,,
19,Shampoo BioExpert placenta vegetal,Comercial,"Agua, lauril sulfato de sodio, lauret sulfato de sodio, cocamida mea, glicol diestearato, cocoil glutamato disódico, cocoil glutamato de sodio, eritritol, amodimeticona, cloruro de di ppg 2, miret 10, PPG 3 dimonio cloruro fosfato de linoleamidopropilo, policuaternio 7, policuaternio 44, policuaternio 28, cloruro de potasio, gluconato de sodio, cloruro de guar hidroxipropiltrimonio, aceite de nuez de macadamia, queratina hidrolizada, ácido cítrico, benzyl alcohol, metilisotiazolinona, metilcloroisotiazolinona.",Plastico ,650,92,BodegaAurrera,Nutre y promueve el crecimientos,,fisica,,,,
20,Shampoo BioExpert aceite de macadamia,Comercial,"Agua, alcohol cetearílico, behenyl metosulfato trimetilamonio y n hexadecanol, glicol butileno, estearamidopropil dimetilamina, fragancia, dimeticona, policuaternio 37, propilenglicol, dicaprilato, dicaprato, PPG 1, trideceth 6, queratina hidrolizada, extracto de té verde, ácido cítrico, benzil alcohol, metilisotiazolinona, methilcloroisotiazolinona.",Plastico ,650,92,BodegaAurrera,Hidratación Anti_frizz,,fisica,,,,
